2017년 12월 02일 13시 18분 13초  회원가입
2017년 12월 02일 13시 18분 18초  로그아웃
2017년 12월 02일 13시 18분 23초  로그인
2017년 12월 02일 13시 25분 01초  3번 게시물 공감함.
1970년 01월 01일 00시 00분 00초  3번 게시물 공감 취소함
2017년 12월 02일 13시 25분 03초  3번 게시물 공감함.
1970년 01월 01일 00시 00분 00초  3번 게시물 공감 취소함
2017년 12월 02일 13시 25분 04초  3번 게시물 공감함.
1970년 01월 01일 00시 00분 00초  3번 게시물 공감 취소함
2017년 12월 02일 13시 25분 05초  3번 게시물 공감함.
1970년 01월 01일 00시 00분 00초  3번 게시물 공감 취소함
2017년 12월 02일 13시 25분 08초  3번 게시물 공감함.
1970년 01월 01일 00시 00분 00초  3번 게시물 공감 취소함
2017년 12월 02일 13시 31분 04초  커버사진 등록.
2017년 12월 02일 13시 31분 13초  프로필사진 등록.
2017년 12월 02일 13시 31분 22초  게시물 등록, 게시물 내용 : ?
